Id,LotArea,YearBuilt,BedroomAbvGr,LotShape,CentralAir,LotFrontage,MasVnrArea,GarageYrBlt,GarageType,SalePrice
1,8450,2003,3,Reg,Y,65,196,2003,Attchd,199837.242
2,9600,1976,3,Reg,Y,80,0,1976,Attchd,173959.038
3,11250,2001,3,IR1,Y,68,162,2001,Attchd,214214.022
4,9550,1915,3,IR1,Y,60,0,1998,Detchd,134183.28
5,14260,2000,4,IR1,Y,84,350,2000,Attchd,239613
6,14115,1993,1,IR1,Y,85,0,1993,Attchd,137058.636
7,10084,2004,3,Reg,Y,75,186,2004,Attchd,294244.764
8,10382,1973,3,IR1,Y,NA,240,1973,Attchd,191690.4
9,6120,1931,2,Reg,Y,51,0,1931,Detchd,124502.9148
10,7420,1939,2,Reg,Y,50,0,1939,Attchd,113097.336
11,11200,1965,3,Reg,Y,70,0,1965,Detchd,124119.534
12,11924,2005,4,IR1,Y,85,286,2005,BuiltIn,330665.94
13,12968,1962,2,IR2,Y,NA,0,1962,Detchd,138017.088
14,10652,2006,3,IR1,Y,91,306,2006,Attchd,267887.334
15,10920,1960,2,IR1,Y,NA,212,1960,Attchd,150476.964
16,6120,1929,2,Reg,Y,51,0,1991,Detchd,126515.664
17,11241,1970,2,IR1,Y,NA,180,1970,Attchd,142809.348
18,10791,1967,2,Reg,Y,72,0,1967,CarPort,86260.68
19,13695,2004,3,Reg,Y,66,0,2004,Detchd,152393.868
20,7560,1958,3,Reg,Y,70,0,1958,Attchd,133224.828
21,14215,2005,4,IR1,Y,101,380,2005,BuiltIn,311784.4356
22,7449,1930,3,Reg,Y,57,0,1930,Attchd,133608.2088
23,9742,2002,3,Reg,Y,75,281,2002,Attchd,220443.96
24,4224,1976,3,Reg,Y,44,0,1976,Attchd,124502.9148
25,8246,1968,3,IR1,Y,NA,0,1968,Attchd,147601.608
26,14230,2007,3,Reg,Y,110,640,2007,Attchd,245651.2476
27,7200,1951,3,Reg,Y,60,0,2005,Detchd,129199.3296
28,11478,2007,3,Reg,Y,98,200,2008,Attchd,293286.312
29,16321,1957,2,IR1,Y,47,0,1957,Attchd,198878.79
30,6324,1927,1,IR1,N,60,0,1920,Detchd,65653.962
31,8500,1920,3,Reg,N,50,0,1920,Detchd,38338.08
32,8544,1966,3,IR1,Y,NA,0,1966,Attchd,143144.8062
33,11049,2007,3,Reg,Y,85,0,2007,Attchd,172425.5148
34,10552,1959,4,IR1,Y,70,0,1959,Attchd,158623.806
35,7313,2005,2,Reg,Y,60,246,2005,Attchd,265970.43
36,13418,2004,4,Reg,Y,108,132,2004,BuiltIn,296161.668
37,10859,1994,3,Reg,Y,112,0,1995,Attchd,138975.54
38,8532,1954,3,Reg,Y,74,650,1954,Attchd,146643.156
39,7922,1953,3,Reg,Y,68,0,1953,Detchd,104471.268
40,6040,1955,2,Reg,N,65,0,NA,NA,78593.064
41,8658,1965,3,Reg,Y,84,101,1965,Attchd,153352.32
42,16905,1959,2,Reg,Y,115,0,1959,Attchd,162936.84
43,9180,1983,2,IR1,Y,NA,0,1983,Attchd,138017.088
44,9200,1975,3,IR1,Y,NA,0,1977,Detchd,124838.373
45,7945,1959,3,Reg,Y,70,0,1959,Attchd,135141.732
46,7658,2005,2,Reg,Y,61,412,2005,Attchd,306608.7948
47,12822,2003,1,IR1,Y,48,0,2003,Attchd,229727.5261
48,11096,2006,3,Reg,Y,84,0,2006,Attchd,239325.4644
49,4456,1920,2,Reg,Y,33,0,NA,NA,108305.076
50,7742,1966,3,Reg,Y,66,0,1966,Attchd,121723.404
51,13869,1997,3,IR2,Y,NA,0,1997,Attchd,169646.004
52,6240,1934,3,Reg,Y,52,0,1985,Detchd,109742.754
53,8472,1963,2,IR2,N,110,0,1963,CarPort,105429.72
54,50271,1981,0,IR1,Y,68,0,1981,Attchd,369004.02
55,7134,1955,3,Reg,Y,60,0,1962,Detchd,124598.76
56,10175,1964,3,IR1,Y,100,272,1964,Attchd,173000.586
57,2645,1999,3,Reg,Y,24,456,1999,Attchd,165332.97
58,11645,2004,3,IR1,Y,89,0,2004,Attchd,188335.818
59,13682,2006,3,IR2,Y,66,1031,2006,BuiltIn,420549.5686
60,7200,1972,2,Reg,Y,60,0,1973,Detchd,119710.6548
61,13072,2004,3,Reg,Y,63,0,2006,Detchd,151435.416
62,7200,1920,3,Reg,N,60,0,1935,Detchd,96803.652
63,6442,2006,2,IR1,Y,44,178,2006,Attchd,194086.53
64,10300,1921,3,IR1,Y,50,0,1990,Detchd,134183.28
65,9375,1997,3,Reg,Y,NA,573,1998,Attchd,210380.214
66,9591,2004,4,Reg,Y,76,344,2004,BuiltIn,303829.284
67,19900,1970,3,Reg,Y,NA,287,1970,Attchd,172521.36
68,10665,2003,3,IR1,Y,72,167,2003,Attchd,216610.152
69,4608,1945,2,Reg,Y,47,0,1945,Attchd,76676.16
70,15593,1953,3,Reg,Y,81,0,1953,Attchd,215651.7
71,13651,1973,3,IR1,Y,95,1115,1973,Attchd,233862.288
72,7599,1982,2,Reg,Y,69,0,1987,Detchd,124119.534
73,10141,1998,3,IR1,Y,74,40,1998,Attchd,177313.62
74,10200,1954,3,Reg,Y,85,104,1989,Attchd,138879.6948
75,5790,1915,3,Reg,N,60,0,1915,Detchd,102937.7448
76,1596,1973,2,Reg,Y,21,0,1973,BuiltIn,87219.132
77,8475,1956,2,IR1,Y,NA,0,1956,Detchd,130109.859
78,8635,1948,2,Reg,Y,50,0,1948,Detchd,121723.404
79,10778,1968,4,Reg,N,72,0,NA,NA,130828.698
80,10440,1910,2,Reg,Y,60,0,1966,Detchd,105429.72
81,13000,1968,4,Reg,Y,100,576,1968,Attchd,185460.462
82,4500,1998,2,Reg,Y,32,443,1998,Attchd,147122.382
83,10206,2007,3,Reg,Y,78,468,2007,Attchd,234820.74
84,8892,1960,3,IR1,Y,80,66,1974,Detchd,121244.178
85,8530,1995,3,IR1,Y,NA,22,1995,BuiltIn,161499.162
86,16059,1991,4,Reg,Y,121,284,1991,Attchd,249197.52
87,11911,2005,3,IR2,Y,122,0,2005,BuiltIn,166770.648
88,3951,2009,2,Reg,Y,40,76,2009,Detchd,157665.354
89,8470,1915,2,IR1,N,105,0,NA,NA,81468.42
90,8070,1994,3,Reg,Y,60,0,NA,NA,118464.6672
91,7200,1950,2,Reg,Y,60,0,1950,Detchd,105333.8748
92,8500,1961,2,Reg,Y,85,203,1961,Attchd,94503.3672
93,13360,1921,2,IR1,Y,80,0,1921,Detchd,156706.902
94,7200,1910,4,Reg,N,60,0,1900,Detchd,128336.7228
95,9337,1997,3,IR1,Y,69,0,1997,Attchd,196243.047
96,9765,1993,3,IR2,Y,NA,68,1993,BuiltIn,177313.62
97,10264,1999,3,IR1,Y,78,183,1999,Attchd,205108.728
98,10921,1965,3,Reg,Y,73,48,1965,Attchd,90813.327
99,10625,1920,2,Reg,N,85,0,1920,Basment,79551.516
100,9320,1959,3,IR1,Y,77,0,NA,NA,123592.3854
101,10603,1977,3,IR1,Y,NA,28,1977,Attchd,196482.66
102,9206,1985,3,Reg,Y,77,336,1985,Attchd,170604.456
103,7018,1979,4,Reg,Y,64,0,1979,Attchd,114021.2837
104,10402,2009,3,IR1,Y,94,0,2009,Attchd,190636.1028
105,7758,1931,4,Reg,Y,NA,600,1951,Detchd,162457.614
106,9375,2003,3,Reg,Y,75,768,2003,Attchd,239613
107,10800,1885,2,Reg,Y,60,0,1954,Detchd,95845.2
108,6000,1948,2,Reg,Y,50,0,1948,Detchd,110221.98
109,8500,1919,3,Reg,N,85,0,NA,NA,110221.98
110,11751,1977,3,IR1,Y,105,480,1977,Attchd,182105.88
111,9525,1954,4,Reg,Y,75,0,1954,Attchd,131212.0788
112,7750,2000,3,IR1,Y,NA,0,2000,BuiltIn,172521.36
113,9965,2007,4,Reg,Y,77,220,2007,BuiltIn,368016.8144
114,21000,1953,3,Reg,Y,NA,184,1953,Basment,207984.084
115,7259,1945,3,IR1,Y,61,0,1945,Detchd,248718.294
116,3230,1999,2,Reg,Y,34,1129,1999,Detchd,168687.552
117,11616,1962,3,Reg,Y,NA,116,1962,Attchd,133224.828
118,8536,2006,2,Reg,Y,74,0,2007,Attchd,148560.06
119,12376,1990,5,Reg,Y,90,0,1990,Attchd,306704.64
120,8461,2005,3,Reg,Y,65,0,2005,Attchd,157176.5435
121,21453,1969,1,IR1,Y,NA,0,1969,Attchd,172521.36
122,6060,1939,3,Reg,Y,50,0,1979,Detchd,95845.2
123,9464,1958,3,Reg,Y,75,135,1958,Attchd,130349.472
124,7892,1993,2,Reg,Y,55,0,1993,Attchd,147505.7628
125,17043,1979,3,IR1,Y,48,0,1979,Attchd,173479.812
126,6780,1935,2,Reg,N,60,0,NA,NA,80989.194
127,4928,1976,2,IR1,Y,NA,0,1977,Attchd,122681.856
128,4388,1930,3,IR1,Y,55,0,NA,NA,83385.324
129,7590,1966,3,Reg,Y,69,266,1966,Attchd,148560.06
130,8973,1958,3,Reg,Y,69,85,1998,2Types,143767.8
131,14200,1966,4,Reg,Y,88,309,1966,Attchd,216610.152
132,12224,2000,3,IR1,Y,NA,40,2000,BuiltIn,233862.288
133,7388,1959,3,Reg,Y,75,0,1974,Detchd,144486.639
134,6853,2001,2,IR1,Y,NA,136,2001,Attchd,210859.44
135,10335,1968,3,IR1,Y,78,0,1968,Attchd,172521.36
136,10400,1970,3,Reg,Y,80,288,1970,Attchd,166770.648
137,10355,1967,3,IR1,Y,NA,196,1967,Attchd,137058.636
138,11070,1988,5,Reg,Y,82,70,1989,2Types,163895.292
139,9066,1999,3,IR1,Y,73,320,1999,Attchd,220443.96
140,15426,1997,3,IR1,Y,65,0,1997,Attchd,221881.638
141,10500,1971,3,Reg,Y,70,0,NA,NA,110221.98
142,11645,2005,3,Reg,Y,78,0,2005,Attchd,249197.52
143,8520,1952,4,Reg,Y,71,0,2000,Detchd,159103.032
144,10335,1999,3,IR1,Y,78,183,1999,Attchd,195524.208
145,9100,1963,6,Reg,Y,70,336,1963,Detchd,119806.5
146,2522,2004,3,Reg,Y,24,50,2004,Detchd,124598.76
147,6120,1931,2,Reg,Y,51,0,1931,Detchd,100637.46
148,9505,2001,3,IR1,Y,NA,180,2001,BuiltIn,213255.57
149,7500,2004,3,Reg,Y,63,120,NA,NA,135141.732
150,6240,1936,3,Reg,Y,NA,0,1936,Detchd,110221.98
151,10356,1975,3,Reg,Y,120,0,1975,Attchd,116931.144
152,13891,2007,2,Reg,Y,107,436,2007,Attchd,356929.4417
153,14803,1971,4,IR1,Y,NA,252,1971,Attchd,182105.88
154,13500,1960,1,Reg,Y,NA,0,1960,Attchd,225236.22
155,11340,1923,4,Reg,Y,84,0,1923,Detchd,119806.5
156,9600,1924,2,Reg,N,60,0,NA,NA,75717.708
157,7200,1950,2,Reg,Y,60,0,1950,Detchd,104950.494
158,12003,2009,4,Reg,Y,92,84,2009,BuiltIn,258302.814
159,12552,2004,3,Reg,Y,100,0,2004,Attchd,244309.4148
160,19378,2005,4,IR1,Y,134,456,2006,Attchd,306704.64
161,11120,1984,3,IR1,Y,NA,0,1984,Attchd,155748.45
162,13688,2003,3,IR1,Y,110,664,2003,BuiltIn,395361.45
163,12182,2005,3,Reg,Y,95,226,2005,Attchd,210859.44
164,5500,1956,1,Reg,Y,55,0,NA,NA,98912.2464
165,5400,1926,3,Reg,Y,40,0,1926,Detchd,145684.704
166,10106,1940,4,Reg,Y,62,0,NA,NA,122202.63
167,10708,1955,2,IR1,Y,NA,0,1955,Attchd,182105.88
168,10562,2007,3,Reg,Y,86,300,2007,Attchd,312094.974
169,8244,2004,3,IR1,Y,62,0,2004,Attchd,175875.942
170,16669,1981,2,IR1,Y,NA,653,1981,Attchd,218527.056
171,12358,1941,2,IR1,Y,NA,0,1991,Detchd,123161.082
172,31770,1960,3,IR1,Y,141,112,1960,Attchd,206067.18
173,5306,1987,2,IR1,Y,44,0,1987,Attchd,229070.028
174,10197,1961,3,IR1,Y,80,491,1961,Attchd,156227.676
175,12416,1986,3,IR1,Y,47,132,1986,Attchd,176355.168
176,12615,1950,4,Reg,Y,84,0,1950,Attchd,232903.836
177,10029,1988,4,IR1,Y,97,268,1988,Attchd,202233.372
178,13650,1958,4,Reg,Y,NA,0,1958,Attchd,165332.97
179,17423,2008,1,IR1,Y,63,748,2009,Attchd,480986.6763
180,8520,1923,2,Reg,Y,60,0,1935,Detchd,95845.2
181,2117,2000,3,Reg,Y,NA,456,2000,Detchd,169646.004
182,7588,1920,4,Reg,Y,54,0,1920,Detchd,191786.2452
183,9060,1957,3,Reg,Y,60,98,1957,Attchd,115014.24
184,11426,2003,3,Reg,Y,63,0,2003,Detchd,191690.4
185,7438,1908,3,IR1,Y,92,0,1986,Attchd,121723.404
186,22950,1892,4,IR2,Y,90,0,1993,Detchd,455264.7
187,9947,1990,3,IR1,Y,NA,0,1990,Attchd,165812.196
188,10410,1916,3,Reg,Y,60,0,1916,Detchd,129391.02
189,7018,1979,2,Reg,Y,64,275,1979,Detchd,146966.1543
190,4923,2001,0,Reg,Y,41,0,2001,Attchd,274117.272
191,10570,1932,3,Reg,Y,70,0,1932,Detchd,301912.38
192,7472,1972,4,IR1,Y,NA,138,1972,Attchd,176355.168
193,9017,1999,3,IR1,Y,68,0,1999,Attchd,184022.784
194,2522,2004,3,Reg,Y,24,50,2004,Detchd,124598.76
195,7180,1972,3,IR1,Y,60,0,1989,Detchd,121723.404
196,2280,1976,3,Reg,Y,24,0,1976,Attchd,142330.122
197,9416,2007,3,Reg,Y,79,205,2007,Attchd,298914.3421
198,25419,1918,4,Reg,Y,174,0,1918,Detchd,225236.22
199,5520,1912,5,Reg,Y,92,0,NA,NA,99679.008
200,9591,2004,3,Reg,Y,76,262,2004,Attchd,263478.4548
201,8546,2003,2,Reg,Y,80,0,2003,Attchd,134183.28
202,10125,1977,3,Reg,Y,75,0,1980,Detchd,164374.518
203,7000,1924,2,Reg,Y,50,0,1924,Attchd,107346.624
204,4438,2004,1,Reg,Y,NA,205,2004,Attchd,142809.348
205,3500,1947,2,Reg,Y,50,0,1948,Detchd,105429.72
206,11851,1990,3,Reg,Y,99,0,1990,Attchd,173000.586
207,13673,1962,3,IR1,Y,40,0,1962,Attchd,137921.2428
208,12493,1960,3,IR1,Y,NA,0,1960,Attchd,135141.732
209,14364,1988,3,IR1,Y,NA,128,1988,Attchd,265491.204
210,8250,1964,3,Reg,Y,75,260,1964,Attchd,138975.54
211,5604,1925,2,Reg,N,67,0,NA,NA,93928.296
212,10420,2009,3,Reg,Y,83,0,2009,Attchd,178272.072
213,8640,2009,3,Reg,Y,72,0,2009,Attchd,242179.7345
214,13568,1995,3,IR2,Y,43,0,1996,Attchd,149518.512
215,10900,1977,3,IR1,Y,NA,153,1977,Attchd,155029.611
216,10011,1957,2,IR1,Y,72,64,1957,Attchd,128863.8714
217,8450,2004,3,Reg,Y,65,266,2004,Attchd,201274.92
218,9906,1925,3,Reg,N,57,0,1940,Detchd,102554.364
219,15660,1939,3,IR1,Y,NA,312,1939,Attchd,298557.798
220,3010,2005,2,Reg,Y,43,16,2005,Attchd,160291.5125
221,8990,2006,2,IR1,Y,73,0,2006,Attchd,196386.8148
222,8068,2002,4,IR1,Y,NA,0,2002,BuiltIn,191690.4
223,11475,1975,3,Reg,Y,85,0,1975,Attchd,172425.5148
224,10500,1971,2,Reg,Y,70,0,1989,Detchd,92969.844
225,13472,2003,3,Reg,Y,103,922,2003,Attchd,370202.085
226,1680,1971,3,Reg,Y,21,142,1991,Detchd,107346.624
227,9950,1995,4,IR1,Y,82,290,1995,Attchd,277951.08
228,1869,1970,2,Reg,Y,21,127,1987,Detchd,101595.912
229,8521,1967,3,Reg,Y,70,0,1974,Detchd,119806.5
230,3182,2005,2,Reg,Y,43,16,2005,Attchd,184502.01
231,8760,1959,3,Reg,Y,73,220,1959,Attchd,141850.896
232,15138,1995,4,IR1,Y,174,506,1995,Attchd,386256.156
233,1680,1972,2,Reg,Y,21,297,1972,Attchd,90573.714
234,10650,1976,3,Reg,Y,75,0,1976,Attchd,122873.5464
235,7851,2002,4,Reg,Y,NA,NA,2002,BuiltIn,207504.858
236,1680,1971,2,Reg,Y,21,604,1971,Detchd,85781.454
237,8773,2004,3,Reg,Y,65,98,2004,Attchd,177792.846
238,9453,1993,3,IR1,Y,NA,0,1993,Attchd,186418.914
239,12030,2007,3,Reg,Y,93,254,2007,Attchd,304787.736
240,8741,1945,3,Reg,Y,52,0,1949,Detchd,108305.076
241,9000,2008,3,Reg,Y,75,36,2008,Attchd,251593.65
242,3880,1945,2,Reg,Y,40,0,NA,NA,105908.946
243,5000,1900,3,Reg,N,63,0,1940,Attchd,75717.708
244,10762,1980,3,Reg,Y,75,0,1980,Attchd,115014.24
245,8880,1994,3,IR1,Y,NA,0,1994,Attchd,196482.66
246,10400,1988,3,Reg,Y,80,102,1988,Attchd,231466.158
247,9142,1910,4,Reg,N,69,0,1910,Detchd,131307.924
248,11310,1954,2,Reg,Y,75,0,1954,Attchd,134183.28
249,11317,2003,3,Reg,Y,72,101,2003,Attchd,172521.36
250,159000,1958,4,IR2,Y,NA,472,1958,Attchd,265491.204
251,5350,1940,3,IR1,Y,55,0,NA,NA,73321.578
252,4750,2006,2,IR1,Y,44,481,2006,Attchd,225236.22
253,8366,2004,3,IR1,Y,65,0,2004,Attchd,165812.196
254,9350,1964,3,Reg,Y,85,108,1964,Attchd,151435.416
255,8400,1957,3,Reg,Y,70,0,1957,Attchd,138975.54
256,8738,1999,4,IR1,Y,66,302,1999,BuiltIn,220443.96
257,8791,2003,3,IR1,Y,64,0,2003,Attchd,198878.79
258,8814,2006,3,Reg,Y,68,180,2006,Attchd,210859.44
259,12435,2001,3,Reg,Y,80,172,2001,Attchd,221881.638
260,12702,1956,2,Reg,Y,70,0,1956,Detchd,92969.844
261,19296,1962,3,Reg,Y,120,399,1991,Attchd,168687.552
262,9588,2007,3,IR1,Y,69,270,2007,BuiltIn,264532.752
263,8471,1977,3,IR1,Y,88,46,1978,Attchd,144726.252
264,5500,1929,3,Reg,Y,50,0,1974,Detchd,124598.76
265,5232,1925,2,IR3,N,30,0,1965,Detchd,69966.996
266,12090,1981,3,IR1,Y,78,210,1981,Attchd,168208.326
267,11207,1997,3,IR1,Y,70,0,1997,Attchd,177313.62
268,8400,1939,4,Reg,Y,60,0,1939,Detchd,172042.134
269,6900,1940,2,Reg,Y,71,0,1966,Detchd,115493.466
270,7917,1976,3,IR1,Y,NA,174,1987,Attchd,141850.896
271,10728,2006,3,Reg,Y,84,0,2006,Attchd,254948.232
272,39104,1954,2,IR1,Y,73,0,1954,Attchd,231466.158
273,11764,1999,4,IR1,Y,92,348,1999,Attchd,277951.08
274,9600,1958,3,Reg,Y,80,183,1958,Attchd,133224.828
275,8314,1982,2,Reg,Y,76,0,1982,Attchd,119327.274
276,7264,1925,3,Reg,N,55,0,1978,Detchd,196482.66
277,9196,2003,3,IR1,Y,129,0,2003,Attchd,192648.852
278,19138,1951,2,Reg,Y,140,0,1951,Detchd,135141.732
279,14450,2006,3,Reg,Y,107,315,2007,Attchd,398043.1987
280,10005,1977,4,Reg,Y,83,299,1977,Attchd,184022.784
281,11287,1989,3,Reg,Y,82,340,1989,Attchd,219006.282
282,7200,2006,2,Reg,Y,60,68,2006,Attchd,177313.62
283,5063,2007,2,Reg,Y,34,166,2008,Attchd,198878.79
284,9612,2008,3,Reg,Y,74,72,2008,Attchd,234437.3592
285,8012,1992,2,Reg,Y,50,0,1992,Attchd,171754.5984
286,4251,2006,2,IR1,Y,35,0,2006,Detchd,157857.0444
287,9786,1962,3,IR1,Y,77,0,1962,Attchd,152393.868
288,8125,1971,3,IR1,Y,NA,0,NA,NA,84343.776
289,9819,1967,3,IR1,Y,NA,31,1970,Detchd,116931.144
290,8730,1915,3,Reg,Y,60,0,2003,Detchd,147194.2659
291,15611,2006,3,Reg,Y,120,0,2006,Attchd,223539.76
292,5687,1912,6,Reg,N,55,0,NA,NA,130253.6268
293,11409,1949,3,Reg,Y,60,0,1949,Attchd,125557.212
294,16659,1977,3,IR1,Y,NA,34,1977,Attchd,225236.22
295,9600,1953,3,Reg,Y,80,238,1953,Attchd,160061.484
296,7937,1984,3,IR1,Y,37,0,1984,Detchd,136579.41
297,13710,1950,4,Reg,Y,75,0,1950,Attchd,145684.704
298,7399,1997,3,IR1,Y,66,1600,1997,Detchd,229070.028
299,11700,1968,3,Reg,Y,90,365,1968,Attchd,167729.1
300,14000,1950,3,Reg,Y,80,0,1950,Attchd,151914.642
301,15750,1953,2,Reg,Y,90,56,1953,Attchd,150476.964
302,16226,1998,4,IR3,Y,66,0,1998,BuiltIn,255906.684
303,13704,2001,3,IR1,Y,118,150,2001,Attchd,196482.66
304,9800,1972,3,Reg,Y,70,0,1975,Attchd,143671.9548
305,18386,1880,3,Reg,Y,87,0,2003,Attchd,282743.34
306,10386,2004,3,Reg,Y,80,246,2004,Attchd,293190.4668
307,13474,1990,4,Reg,Y,116,246,1990,Attchd,215651.7
308,7920,1920,3,IR1,Y,NA,0,NA,NA,85781.454
309,12342,1940,1,IR1,Y,NA,0,1961,Detchd,79072.29
310,12378,2003,3,IR1,Y,90,0,2003,Attchd,345042.72
311,7685,1993,3,IR1,Y,NA,112,1993,Attchd,158719.6512
312,8000,1948,2,Reg,Y,50,0,1948,Detchd,126515.664
313,7800,1939,3,Reg,Y,65,0,1939,Detchd,114918.3948
314,215245,1965,3,IR3,Y,150,0,1965,Attchd,359419.5
315,9600,1925,3,Reg,Y,60,0,1925,Detchd,170604.456
316,7795,2004,3,IR1,Y,71,0,2004,Attchd,180668.202
317,13005,1980,4,IR1,Y,94,278,1983,Attchd,249197.52
318,9000,2006,3,Reg,Y,75,0,2006,Attchd,258782.04
319,9900,1993,4,Reg,Y,90,256,1993,Attchd,249197.52
320,14115,1980,3,Reg,Y,NA,225,1980,Attchd,179709.75
321,16259,2006,4,Reg,Y,111,370,2006,Attchd,328406.8686
322,12099,2004,4,IR1,Y,99,388,2004,BuiltIn,339292.008
323,10380,1986,4,IR1,Y,86,172,1987,Attchd,288494.052
324,5820,1955,3,Reg,Y,49,0,1955,Attchd,120932.6811
325,11275,1967,5,Reg,Y,96,300,1961,BuiltIn,231945.384
326,5000,1941,2,Reg,N,50,0,1941,Detchd,83385.324
327,10846,1993,1,IR1,Y,32,0,1993,Attchd,310538.448
328,11600,1960,3,Reg,Y,80,175,1960,Attchd,139215.153
329,11888,1916,5,IR1,N,NA,0,1930,Detchd,205587.954
330,6402,1920,3,Reg,N,60,0,1920,Detchd,74759.256
331,10624,1964,6,IR1,Y,NA,84,2002,Detchd,114055.788
332,8176,1958,3,Reg,Y,70,0,1958,Attchd,133224.828
333,10655,2003,3,IR1,Y,85,296,2003,Attchd,272200.368
334,8198,2004,2,Reg,Y,59,146,2004,Attchd,198399.564
335,9042,1998,3,IR1,Y,59,0,1998,Attchd,184022.784
336,164660,1965,3,IR1,Y,NA,0,1965,Attchd,219437.5854
337,14157,2005,3,IR1,Y,86,200,2005,Attchd,361744.7046
338,9135,2002,3,Reg,Y,70,113,2002,Attchd,205108.728
339,14145,1984,3,Reg,Y,91,0,1984,Attchd,194086.53
340,12400,1958,3,IR1,Y,66,176,1958,Attchd,148560.06
341,14191,2002,4,Reg,Y,85,0,2002,Attchd,194469.9108
342,8400,1950,2,Reg,Y,60,0,1950,CarPort,78593.064
343,8544,1949,2,Reg,N,NA,340,1949,Detchd,83864.55
344,8849,2005,2,IR1,Y,63,616,2005,Attchd,254948.232
345,2592,1976,3,Reg,Y,36,0,1976,Attchd,81468.42
346,6435,1939,3,Reg,Y,65,0,1939,Detchd,134374.9704
347,12772,1960,2,IR1,Y,NA,0,1960,Attchd,145205.478
348,17600,1960,3,IR1,Y,NA,30,1960,Attchd,150956.19
349,2448,2003,2,Reg,Y,36,106,2003,BuiltIn,147601.608
